ISBN,Título,Autor,Editorial
9786074007404,"Mujeres son de Venus, Las. Para entender a la mujer de tu vida","Gray, John",Océano exprés
9786074006230,"Almendra, La",Nedjma,Océano exprés
9786074007497,"Chicos que cayeron en la trampa, Los","Adler-Olsen, Jussi",Océano exprés
9786078303656,"Mensaje que llegó en una botella, El","Adler-Olsen, Jussi",Océano exprés
9786074006032,"Mujer que arañaba las paredes, La","Adler-Olsen, Jussi",Océano exprés
9786078303144,"Arte del asesino, El","Jungstedt, Mari",Océano exprés
9786077353621,"Falsa sonrisa, La","Jungstedt, Mari",Océano exprés
9786074006018,Nadie lo conoce,"Jungstedt, Mari",Océano exprés
9786074006025,Nadie lo ha oído,"Jungstedt, Mari",Océano exprés
9786074006001,Nadie lo ha visto,"Jungstedt, Mari",Océano exprés
9786077350903,Un inquietante amanecer,"Jungstedt, Mari",Océano exprés
9786074005493,Crimen en directo,"Läckberg, Camilla",Océano exprés
9786077350569,"Crimen en directo (Edición de lujo, tapa dura)","Läckberg, Camilla",Océano exprés
9786077350576,"Gritos del pasado, Los (Edición de lujo, tapa dura)","Läckberg, Camilla",Océano exprés
9786074003727,"Gritos del pasado, Los (Nueva edición)","Läckberg, Camilla",Océano exprés
9786074003734,"Hijas del frío, Las","Läckberg, Camilla",Océano exprés
9786074007503,"Huellas imborrables, Las","Läckberg, Camilla",Océano exprés
9786077350590,"Huellas imborrables, Las (Edición de lujo, tapa dura)","Läckberg, Camilla",Océano exprés
9786074003710,"Princesa de hielo, La (Nueva edición)","Läckberg, Camilla",Océano exprés
9786077350088,"Sombra de la sirena, La (Edición de lujo, tapa dura)","Läckberg, Camilla",Océano exprés
9786077353775,"Vigilantes del faro, Los","Läckberg, Camilla",Océano exprés
9786077351009,Blancanieves debe morir,"Neuhaus, Nele",Océano exprés
9786077350019,Un día más,"Albom, Mitch",Océano exprés
9786077354697,"Lista de ofensas, La","Ara, Dilruba Z. ",Océano exprés
9786077356363,"Torre y el jardín, La","Chimal, Alberto",Océano exprés
9786077353799,Santitos,"Escandón, María Amparo",Océano exprés
9786077350972,Solo en Berlín,"Fallada, Hans",Océano exprés
9786077353232,"Cenizas de Ángela, Las","McCourt, Frank",Océano exprés
9786077355229,Lo es,"McCourt, Frank",Océano exprés
9786078303038,¡Pantaletas!,"Ramírez, Armando",Océano exprés
9786074003680,Chin Chin el teporocho,"Ramírez, Armando",Océano exprés
9786074005998,Fantasmas,"Ramírez, Armando",Océano exprés
9786074005844,Criadas y señoras,"Stockett, Kathryn",Océano exprés
9786074005509,"Columna de hierro, La","Caldwell, Taylor",Océano exprés
9786078303663,"Gran León de Dios, El","Caldwell, Taylor",Océano exprés
9786074006810,Médico de cuerpos y almas,"Caldwell, Taylor",Océano exprés
9786074006247,"Tierra del señor, La","Caldwell, Taylor",Océano exprés
9786074003697,20 poemas de amor y una canción desesperada,"Neruda, Pablo",Océano exprés
9786077355106,Tu sexo es tuyo,"Béjar, Sylvia de",Océano exprés
9786078303977,Guía de placeres para mujeres,"Dichi, Fortuna",Océano exprés
7506144900617,¿Cuál libertad? Diccionario mínimo contra los falsos liberales,"Bovero, Michelangelo",Océano
9789706519351,Formas modernas de la intolerancia,"Cisneros, Isidro H.",Océano
9789706512499,Noam Chomsky habla de América Latina y México,"Dieterich, Heinz",Océano
9789706519382,Una civilización incivilizada,"Kurnitzky, Horst",Océano
9786077350095,"Gran revuelta indígena, La","Le Bot, Yvon",Océano
9786074003260,"Buenas intenciones, malos resultados. Política social, informalidad y crecimiento económico en México","Levy, Santiago",Océano
9786074004335,"Era del envejecimiento, La","Magnus, George",Océano
9789706514905,"Cactus y el olivo, El. Las relaciones de México y España en el siglo XX","Meyer, Lorenzo",Océano
9789707773431,"Espejismo democrático, El","Meyer, Lorenzo",Océano
9789706519801,"Estado en busca del ciudadano, El","Meyer, Lorenzo",Océano
9789686321241,Liberalismo autoritario,"Meyer, Lorenzo",Océano
9786074005257,Cómo acabar con la pobreza,"Polak, Paul",Océano
9789706514936,México educativo revisitado,"Prawda, Juan",Océano
9789707770249,Entre las bestias y los dioses. Del espíritu de las leyes y de los valores políticos,"Reyes Heroles, Federico",Océano
9786077354642,De la protesta a la participación ciudadana,"Richter, Ulrich",Océano
9786074004656,Caos en el capitalismo financiero global,"Rozo, Carlos A.",Océano
9786074003796,México: Por qué unos cuantos son ricos y la población es pobre,"Ruiz, Ramón Eduardo",Océano
9786074007145,Crítica de la mano dura. Cómo enfrentar la violencia y preservar nuestras libertades,"Salazar, Pedro",Océano
9786074005387,Economía: verdades y mentiras,"Sowell, Thomas",Océano
9786074007596,"Mundo, El. Una guía para principiantes.","Therborn, Göran",Océano
9786078303960,"Fin del dinero, El. Un mundo sin efectivo ","Wolman, David",Océano
9786074002805,Reconstruir a México en el siglo XXI (incluye CD-ROM con el libro Cien historias),"Zermeño, Sergio",Océano
9789707773332,Resistencia y cambio en la UNAM,"Zermeño, Sergio",Océano
9786078303045,Chicas Kaláshnikov y otras crónicas,"Almazán, Alejandro",Océano
9786074000665,Morir en la miseria. Los 14 municipios más pobres de México,"Badillo, Miguel -coord.-",Océano
9786077354086,México: 45 voces contra la barbarie,"Bosch, Lolita",Océano
9789707772182,"Libertad de expresión en la iglesia, La","Maza, Enrique",Océano
9786078303137,Dreamers. La lucha de una generación por su sueño americano,"Truax, Eileen",Océano
9789706519887,Cosecha de mujeres,"Washington Valdez, Diana",Océano
9786077350354,Ensayos impertinentes,"Franco, Jean",Océano
9786077351535,"Cuerpo, sexo y política","Lamas, Marta",Océano
9786074009965,Misógino feminista,"Monsiváis, Carlos",Océano
7506144900037,México en el corazón,"Ferrer, Eulalio",Océano
9786074004274,Carlos Slim retrato inédito (Nueva edición actualizada),"Martínez, José",Océano
9786074008906,Ovejas negras. Rebeldes de la iglesia mexicana del siglo XXI ,"Ruiz Parra, Emiliano",Océano
9786074006759,"Liturgia del tigre blanco, La","Salinas Basave, Daniel",Océano
9789707773547,A la distancia…recuerdos y testimonios políticos,"Silva Herzog, Jesús",Océano
9786074002980,A la vera de las independencias de la América Hispánica. Perfiles de la historia,"Alponte, Juan María",Océano
9789707772403,Historia económica de México 6. La era neoliberal,"Ávila, José Luis",Océano
9789706518316,Historia económica de México 3. De la Independencia a la Revolución,"Beato, Guillermo",Océano
9789706518408,"Historia económica de México 12. La tecnología, siglos XVI al XX","Corona Treviño, Leonel",Océano
9789707772373,Historia económica de México 4. De la Revolución a la Industrialización,"De la Peña, Sergio/Aguirre, Teresa",Océano
9786074002225,Revolución y contrarrevolución en la Independencia de México 1767-1867,"Flores Caballero, Romeo",Océano
9789706518378,"Historia económica de México 9. La agricultura, siglos XVI al XX","Fujigaki, Esperanza",Océano
9789706518361,"Historia económica de México 8. El desarrollo regional, siglos XVI al XX","García Martínez, Bernardo",Océano
9789706518330,Historia económica de México 5. El desarrollismo,"Gracida, Elsa M.",Océano
9786074002829,Imperio y revolución. Estadunidenses en México desde la Guerra Civil,"Hart, John Mason",Océano
9789706518385,"Historia económica de México 10. Recursos del subsuelo, siglos XVI al XX","Herrera, Inés/González, Eloy",Océano
9789706518415,"Historia económica de México 13. Los transportes, siglos XVI al XX","Jáuregui, Luis",Océano
9789707772335,"Historia económica de México 7. La población, siglos XVI al XX","Malvido, Elsa",Océano
9786074003475,"Camino de la rebelión del general Saturnino Cedillo, El","Martínez Assad, Carlos -coord.-",Océano
9786074002638,"Revolución Mexicana, La: actores, escenarios y acciones (nueva edición)","Matute, Álvaro",Océano
9786074000658,"Raíces del nacionalismo petrolero en México, Las","Meyer, Lorenzo",Océano
9789707774827,Una historia contemporánea de México (set de 4 volúmenes),"Meyer, Lorenzo/Bizberg Ilán",Océano
9789706518453,Una historia contemporánea de México 1. Transformaciones y permanencias,"Meyer, Lorenzo/Bizberg Ilán",Océano
9789706519252,Una historia contemporánea de México 2. Actores,"Meyer, Lorenzo/Bizberg Ilán",Océano
9789707774834,Una historia contemporánea de México 3. Las instituciones,"Meyer, Lorenzo/Bizberg Ilán",Océano
9789707774841,Una historia contemporánea de México 4. Las políticas,"Meyer, Lorenzo/Bizberg Ilán",Océano
9789707775015,México en los cuarenta: modernidad y corrupción,"Niblo, Stephen R.",Océano
9789706518392,"Historia económica de México 11. Las industrias, siglos XVI al XX","Plana, Manuel",Océano
9789706518309,Historia económica de México 2. La Colonia,"Romero, María Eugenia/Blanco, Mónica",Océano
9786074003970,"Suerte de la consorte, La. (Tercera edición)","Sefchovich, Sara",Océano
9789707772137,Historia económica de México 1. La antigüedad (Los orígenes),"Semo, Enrique",Océano
9786077350293,Yo recibiría las peores noticias de tus lindos labios,"Aquino, Marcal",Océano
9786074009156,Campos de amapola antes de esto. Una novela sobre el narcotráfico en México,"Bosch, Lolita",Océano
9786074007671,"Torre y el jardín, La","Chimal, Alberto",Océano
9786074009804,Hendaya,"Eymar, Marcos",Océano
9786077354253,Otra máscara de esperanza,"González Mateos, Adriana",Océano
9786077352921,Capitán Nemo. Una introducción a la política,"Hiriart, Hugo",Océano
9786077351658,"Drusos de Belgrado, Los","Jaber, Rabee",Océano
9786077356202,Matterhorn. Una novela sobre la guerra de Vietnam,"Marlantes, Karl",Océano
9786077353249,Mil otoños,"Mitchell, David",Océano
9786078303588,"Sótano del ángel, El","Montoya, José Adiak",Océano
9786077350651,"Vagón de las mujeres, El","Nair, Anita",Océano
9786077351894,"Simetría de los deseos, La","Nevo, Eshkol",Océano
9786074009644,Tatami,"Olmos, Alberto",Océano
9786077350347,"Fila india, La","Ortuño, Antonio",Océano
9786077357438,Méjico,"Ortuño, Antonio",Océano
9786077354246,"Fauces del abismo, Las","Padilla, Ignacio",Océano
9786077353645,Papeles de Ítaca y otros destinos,"Pérez, Luis Bernardo",Océano
9786077354529,Junten los pedazos,"Prcic, Ismet",Océano
9786077353515,"Novia de Houdini, La","Rodríguez, Juan José",Océano
9786077356219,Sobre los huesos de los muertos,"Tokarczuk, Olga",Océano
9786077354499,Vivir y morir en USA ,Akashic Books,Océano
9786077353614,"Invasor, El","Aquino, Marcal",Océano
9786077350668,"Muelle del infierno, El ","Astier, Ingrid",Océano
9786074007664,Policía de Ciudad Juárez,"Chávez Diáz de León, Miguel Ángel",Océano
9786074009651,"Modelo asesinada, La","Collazos, Óscar",Océano
9786074007657,Londres después de medianoche,"Cruz García Mora, Augusto",Océano
9786077350880,"Pantera, La","DeMille, Nelson",Océano
9786077354161,Mapuche,"Férey, Caryl",Océano
9786074009682,"Cabeza de Pancho Villa, La","McDonald, Craig",Océano
9786077356226,Ladrón de cadáveres,"Melo, Patrícia",Océano
9786077356004,Causas naturales,"Oswald, James",Océano
9786077350323,"Yo, el Destripador","Scarrow, Alex",Océano
9789706516268,"Cazadores de mamuts, Los","Auel, Jean M.",Océano
9789706516220,"Clan del oso cavernario, El","Auel, Jean M.",Océano
9789706516275,"Llanuras del tránsito, Las","Auel, Jean M.",Océano
9789706516213,"Refugios de Piedra, Los","Auel, Jean M.",Océano
9786074004526,"Tierra de las cuevas pintadas, La","Auel, Jean M.",Océano
9789706516237,"Valle de los caballos, El","Auel, Jean M.",Océano
9789706515124,Limpios de todo amor,"Pacheco, Cristina",Océano
9789706512123,"Trabajos perdidos, Los","Pacheco, Cristina",Océano
9789706518422,"Última noche del tigre, La","Pacheco, Cristina",Océano
9786074002782,Audio libro El símbolo perdido (19 audio CD´s),"Brown, Dan",Océano
9786074009972,Wild Cards 1. El comienzo,"Martin, George R.R.",Océano
9786078303854,Wild Cards 2. Ases en lo alto,"Martin, George R.R.",Océano
